frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
100034,789705,789705352,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100035,789706,789706359,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100036,789707,789707366,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100037,789730,789730346,3025,75.8075,6,0,-22.8,14.17,-22,3,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.53,0,1,2063.89,1725.44,13,13,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100038,789760,789760223,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100039,789761,789761352,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100040,789762,789762359,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100041,789774,789774353,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.0995,76.0685,75.8696,75.7578,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100042,789775,789775360,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.2238,76.1927,75.8945,75.6646,0,0.47,0,0,0.01,-0.09,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100043,789776,789776336,3025,75.8075,6,0,-22.8,14.15,-22.1,5,6,1.62,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.13,32,0.53,0,1,1812.97,1641.83,13,13,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269,76.2238,76.1927,75.8945,75.6646,0,0.47,0,0,0.03,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
